source_name,source_link,location_accuracy,landslide_category,landslide_trigger,landslide_size,landslide_setting,fatality_count,injury_count,storm_name,country_name,admin_division_name,admin_division_population,gazeteer_closest_point,gazeteer_distance,longitude,latitude,Date,Time,year,month
DailyExcelsior.com,http://www.dailyexcelsior.com/srinagar-jammu-highway-remain-closed-over-1300-vehicles-stranded/,5km,landslide,rain,medium,above_road,0.0,0.0,,,,,,,75.22770891,33.24199059,2017-01-06,14:48:00,2017,1
DailyExcelsior.com,http://www.dailyexcelsior.com/srinagar-jammu-highway-remain-closed-over-1300-vehicles-stranded/,exact,landslide,rain,medium,above_road,0.0,0.0,,,,,,,75.19229171,33.33819588,2017-01-06,14:48:00,2017,1
CNN,http://www.cnn.com/2017/02/06/asia/avalanche-afghanistan-pakistan/index.html,10km,snow_avalanche,snowfall_snowmelt,large,natural_slope,1.0,6.0,,,,,,,71.77677082,35.85332031,2017-02-04,21:44:00,2017,2
Greater Kashmir,http://www.greaterkashmir.com/news/chenab-valley/story/242033.html,5km,landslide,continuous_rain,unknown,unknown,0.0,0.0,,,,,,,75.7228768,33.38247258,2017-02-23,22:45:00,2017,2
Hindustan Times,http://www.hindustantimes.com/india-news/landslides-close-jammu-srinagar-highway/story-AkPkhArSjw814Mwqh3a4tL.html,25km,landslide,snowfall_snowmelt,medium,above_road,0.0,0.0,,,,,,,75.178026,33.288297,2017-02-28,20:30:00,2017,2
The Express Tribune,https://tribune.com.pk/story/1391780/landslides-block-karakorum-highway/,10km,landslide,downpour,small,above_road,0.0,0.0,,,,,,,72.97571516,35.08160909,2017-04-24,18:27:00,2017,4
Khaleej Times,http://www.pressreader.com/uae/khaleej-times/20170213/282218010539528,1km,landslide,unknown,medium,above_road,0.0,0.0,,,,,,,73.00616682,35.11357355,2017-02-12,17:05:00,2017,2
Greater Kashmir,http://www.greaterkashmir.com/news/kashmir/kashmir-narrow-escape-for-three-families-after-landslide-hits-budgam-village/254624.html,exact,landslide,rain,medium,natural_slope,0.0,0.0,,,,,,,74.63364102,34.06830898,2017-07-13,13:28:00,2017,7
LEADPakistan,http://leadpakistan.com.pk/news/landslide-blocks-kkh-mansehra-naran-jalkhad-road/,1km,landslide,snowfall_snowmelt,medium,natural_slope,0.0,0.0,,,,,,,72.89541201,35.03832793,2017-01-08,19:12:00,2017,1
Dawn,https://www.dawn.com/news/1322306,10km,rock_fall,unknown,small,above_road,0.0,3.0,,,,,,,73.24949043,35.46378481,2017-03-22,19:32:00,2017,3
The Tribune,http://www.tribuneindia.com/news/jammu-kashmir/vehicles-stuck-at-nh-44-for-second-day-due-to-landslides/359113.html,1km,landslide,unknown,unknown,above_road,0.0,0.0,,,,,,,75.26926793,33.2216593,2017-02-02,18:09:00,2017,2
The Nation,http://nation.com.pk/national/05-Nov-2016/two-killed-in-landi-kotal-landslide,1km,landslide,construction,small,engineered_slope,2.0,1.0,,,,,,,71.157068,34.10563,2016-11-05,14:00:00,2016,11
Greater Kashmir,http://www.greaterkashmir.com/news/kashmir/kashmir-highway-closed-due-to-landslides/245940.html,5km,landslide,continuous_rain,small,above_road,0.0,0.0,,,,,,,74.9648329,32.95544044,2017-04-08,13:19:00,2017,4
CNN,http://www.cnn.com/2017/02/06/asia/avalanche-afghanistan-pakistan/index.html,25km,snow_avalanche,snowfall_snowmelt,very_large,natural_slope,50.0,,,,,,,,71.30557792,35.7276334,2017-02-06,21:44:00,2017,2
The Indian Express,http://indianexpress.com/article/india/jammu-srinagar-national-highway-closed-following-landslides-4563902/,10km,landslide,rain,unknown,above_road,0.0,0.0,,,,,,,75.193916,33.370552,2017-03-10,17:22:00,2017,3
Brighter Kashmir,http://brighterkashmir.com/highway-reopens-after-landslide-forced-blockade-for-30-hours/,10km,landslide,rain,small,above_road,0.0,0.0,,,,,,,75.19165535,33.336892,2017-02-19,22:45:00,2017,2
The Hindu,http://www.thehindu.com/todays-paper/tp-national/landslide-cuts-off-kishtwar/article17374050.ece,10km,landslide,snowfall_snowmelt,large,above_road,0.0,0.0,,,,,,,75.77361313,33.25646771,2017-02-26,19:45:00,2017,2
Greater Kashmir,http://www.greaterkashmir.com/news/kashmir/story/242949.html,5km,landslide,unknown,medium,above_road,0.0,0.0,,,,,,,75.19213091,33.3373721,2017-03-06,16:52:00,2017,3
Brighter Kashmir,http://brighterkashmir.com/traffic-on-kashmir-highway-suspended-due-to-landslides/,5km,landslide,rain,medium,above_road,0.0,0.0,,,,,,,75.18134474,33.49573061,2017-02-18,20:04:00,2017,2
Tribune India,http://www.tribuneindia.com/news/himachal/danger-looms-over-kullu-villages-after-landslide/393956.html,5km,landslide,construction,medium,natural_slope,0.0,0.0,,,,,,,77.29184098,31.76419233,2017-04-17,17:47:00,2017,4
U4U Voice,http://u4uvoice.com/killer-roads-of-chenab-valley-2-killed-2-injured-in-kishtwar-landslide/,5km,rock_fall,rain,medium,above_road,2.0,2.0,,,,,,,75.80816901,33.18368391,2017-04-22,17:55:00,2017,4
Dailyhunt,http://m.dailyhunt.in/news/india/english/u4uvoice-epaper-uvoice/landslide+at+jammu+srinagar+national+highway-newsid-66520969,5km,landslide,rain,small,above_road,0.0,0.0,,,,,,,75.19329838,33.3191592,2017-04-17,13:34:00,2017,4
The Indian Express,http://indianexpress.com/article/india/landslide-damages-dozen-houses-in-sringar-minor-injured-jk-rain-flood-4603635/,1km,landslide,continuous_rain,medium,natural_slope,0.0,1.0,,,,,,,74.84254061,34.08325186,2017-04-07,13:19:00,2017,4
